feels like…,category,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
Braxton Hicks contractions,uncategorized,,[],[],,
all over body pain when inflamed,uncategorized,,[],['sensory'],sensory,
my lower back and stomach is trying to break free from the rest of my body,uncategorized,,[],[],,
being stabbed with a rusty ice pick,metaphorical,,[],['sensory'],sensory,high
my intestines were being tugged out of my anus when I had my period ,uncategorized,,[],[],,
Freddy kugker playing hockey in my stomach. ,uncategorized,,[],[],,
hockey in my stomach. ,uncategorized,,[],[],,
I'm trying to give birth to my spine ,uncategorized,,[],[],,
my insides are battling between themselves ,uncategorized,,[],[],,
using sharp tools. ,sensory,,[],[],,medium
somebody is strangling my womb,uncategorized,,[],[],,
"I become possessed by pain, like I am someone else that takes possession of my usual self",uncategorized,,[],['sensory'],sensory,
I am outside my body and my consciousness ,uncategorized,,[],[],,
my uterus/bowel is being squeezed inside a Panini press. ,uncategorized,,[],[],,
 And sometimes it feels like the panini press have spikes attached,uncategorized,,[],[],,
someone slowly stretching me apart some days,uncategorized,,[],[],,
everything is dragging ,uncategorized,,[],[],,
and going to fall out of me. ,uncategorized,,[],[],,
my ovaries are at war with each other ,uncategorized,,[],[],,
Barbed wire and,uncategorized,,[],[],,
a red hot poker up inside.,sensory,,[],['sensory'],sensory,
someone is smashing me with a hammer and glass,metaphorical,,[],[],,
 and glass,uncategorized,,[],[],,
someone is stabbing me in the vagina ,sensory,,[],['sensory'],sensory,high
with a hot poker. ,sensory,,[],['sensory'],sensory,
a concrete block in my stomach weighing me down. ,uncategorized,,[],[],,
I have  ball in blown up inside my stomach that's ready to burst ,uncategorized,,[],[],,
balloon,uncategorized,,[],[],,
 has gathered weight and is about to fall out through my bum.  ,metaphorical,,[],[],,
It feels like a hot poker is sitting off them .,sensory,,[],['sensory'],sensory,
there's an iron bar put up through me. ,uncategorized,,[],[],,
a ball of pressure ,sensory,,[],[],,
someone stabbing ,sensory,,[],['sensory'],sensory,high
and cutting my stomach out and body up in 10 pieces.,uncategorized,,[],[],,
seriously hot water dripping inside me ,sensory,,[],['sensory'],sensory,
 and burning,sensory,,[],['sensory'],sensory,high
your insides are ripped out and,uncategorized,,[],[],,
 and turned around,uncategorized,,[],[],,
someone poured petrol on me and set me on fire. ,metaphorical,,[],['sensory'],sensory,
Someone took a sharp kitchen knife and stabbed me repeatedly in the groin/pelvis. ,"sensory, metaphorical",,[],['sensory'],sensory,high
Someone took a red hot poker ,sensory,,[],['sensory'],sensory,
and ripped open my section scar repeatedly.  ,uncategorized,,[],[],,
something is eating me from the inside out.  ,uncategorized,,[],[],,
A pain that radiates outwards ,uncategorized,,[],['sensory'],sensory,
"makes me nauseated, dizzy and dissociated from my body.  ",uncategorized,,[],[],,
