Unnamed: 0,feels like…,category,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
SURVEY,a concrete block in my stomach weighing me down. ,uncategorized,,[],[],,
SURVEY,I have  ball in blown up inside my stomach that's ready to burst ,uncategorized,,[],[],,
SURVEY,balloon,uncategorized,,[],[],,
SURVEY, has gathered weight and is about to fall out through my bum.  ,metaphorical,,[],[],,
SURVEY,It feels like a hot poker is sitting off them .,sensory,,[],['sensory'],sensory,
SURVEY,there's an iron bar put up through me. ,uncategorized,,[],[],,
SURVEY,a ball of pressure ,sensory,,[],[],,
SURVEY,someone stabbing ,sensory,,[],['sensory'],sensory,high
SURVEY,and cutting my stomach out and body up in 10 pieces.,uncategorized,,[],[],,
SURVEY,seriously hot water dripping inside me ,sensory,,[],['sensory'],sensory,
SURVEY, and burning,sensory,,[],['sensory'],sensory,high
SURVEY,your insides are ripped out and,uncategorized,,[],[],,
SURVEY, and turned around,uncategorized,,[],[],,
SURVEY,someone poured petrol on me and set me on fire. ,metaphorical,,[],['sensory'],sensory,
SURVEY,Someone took a sharp kitchen knife and stabbed me repeatedly in the groin/pelvis. ,"sensory, metaphorical",,[],['sensory'],sensory,high
SURVEY,Someone took a red hot poker ,sensory,,[],['sensory'],sensory,
SURVEY,and ripped open my section scar repeatedly.  ,uncategorized,,[],[],,
SURVEY,something is eating me from the inside out.  ,uncategorized,,[],[],,
SURVEY,A pain that radiates outwards ,uncategorized,,[],['sensory'],sensory,
SURVEY,"makes me nauseated, dizzy and dissociated from my body.  ",uncategorized,,[],[],,
SURVEY,my organs are trying to birth themselves through various orrifices. ,uncategorized,,[],[],,
SURVEY,someone took my insides and stepped on them threw them around rode a bike over them and then put back in my body. ,uncategorized,,[],[],,
SURVEY,someone is stabbing me the whole time ,sensory,,[],['sensory'],sensory,high
SURVEY,I'm being squeezed by a cobra or some big snake and can't move until it loosens up. ,uncategorized,,[],[],,
SURVEY,a bruised feeling.,uncategorized,,[],[],,
SURVEY,tiny blisters on the inside of my body that I would do anything to take out,uncategorized,,[],[],,
SURVEY,something has ruptured,uncategorized,,[],[],,
SURVEY,it has come back with a Vengeance to Derail me. ,uncategorized,,[],[],,
SURVEY,someone is grabbing my intestines and ,uncategorized,,[],[],,
SURVEY,squeezing/,sensory,,[],[],,
SURVEY,twisting them.  ,uncategorized,,[],['sensory'],sensory,
SURVEY,carpet burns all over my insides.  ,uncategorized,,[],['sensory'],sensory,
SURVEY,"I have food poisoning, but I know it isn't, it is just morning with bowel endo.  ",uncategorized,,[],[],,
SURVEY,your insides are going to fall out.,uncategorized,,[],[],,
